distance,cash_fare_per_ride,adult_card_fare_per_ride,senior_citizen_card_fare_per_ride,student_card_fare_per_ride,workfare_transport_concession_card_fare_per_ride,persons_with_disabilities_card_fare_per_ride
Up to 3.2 km,270,179,114,82,128,114
3.3 km - 4.2 km,270,189,121,87,136,121
4.3 km - 5.2 km,270,200,129,93,145,129
5.3 km - 6.2 km,270,210,136,98,153,136
6.3 km - 7.2 km,270,219,142,101,160,142
7.3 km - 8.2 km,270,226,148,104,166,148
8.3 km - 9.2 km,285,233,148,104,172,148
9.3 km - 10.2 km,285,237,148,104,175,148
10.3 km - 11.2 km,285,241,148,104,178,148
11.3 km - 12.2 km,300,245,148,104,181,148
12.3 km - 13.2 km,300,249,148,104,184,148
13.3 km - 14.2 km,300,253,148,104,187,148
14.3 km - 15.2 km,300,258,148,104,190,148
15.3 km - 16.2 km,315,262,148,104,193,148
16.3 km - 17.2 km,315,266,148,104,196,148
17.3 km - 18.2 km,315,270,148,104,199,148
18.3 km - 19.2 km,315,274,148,104,202,148
19.3 km - 20.2 km,330,277,148,104,205,148
20.3 km - 21.2 km,330,280,148,104,208,148
21.3 km - 22.2 km,330,283,148,104,211,148
22.3 km - 23.2 km,330,286,148,104,214,148
23.3 km - 24.2 km,350,288,148,104,216,148
24.3 km - 25.2 km,350,290,148,104,217,148
25.3 km - 26.2 km,350,292,148,104,218,148
26.3 km - 27.2 km,350,293,148,104,219,148
27.3 km - 28.2 km,350,294,148,104,220,148
28.3 km - 29.2 km,350,295,148,104,221,148
29.3 km - 30.2 km,350,296,148,104,222,148
30.3 km - 31.2 km,350,297,148,104,223,148
31.3 km - 32.2 km,350,298,148,104,224,148
32.3 km - 33.2 km,350,299,148,104,225,148
33.3 km - 34.2 km,350,300,148,104,226,148
34.3 km - 35.2 km,350,301,148,104,227,148
35.3 km - 36.2 km,350,302,148,104,228,148
36.3 km - 37.2 km,350,303,148,104,229,148
37.3 km - 38.2 km,350,304,148,104,230,148
38.3 km - 39.2 km,350,305,148,104,231,148
39.3 km - 40.2 km,350,306,148,104,232,148
Over 40.2 km,350,307,148,104,233,148
