distance,adult_card_fare_per_ride,adult_cash_fare_per_ride,senior_citizen_card_fare_per_ride,senior_citizen_cash_fare_per_ride,student_card_fare_per_ride,student_cash_fare_per_ride,workfare_transport_concession_card_fare_per_ride,workfare_transport_concession_cash_fare_per_ride,persons_with_disabilities_card_fare_per_ride,persons_with_disabilities_cash_fare_per_ride
Up to 3.2 km,119,190,69,130,52,95,78,190,69,130
3.3 km - 4.2 km,129,210,76,130,57,95,86,210,76,130
4.3 km - 5.2 km,140,210,84,130,63,95,95,210,84,130
5.3 km - 6.2 km,150,210,91,130,68,95,103,210,91,130
6.3 km - 7.2 km,159,230,97,160,71,115,110,230,97,160
7.3 km - 8.2 km,166,230,103,160,74,115,116,230,103,160
8.3 km - 9.2 km,173,230,103,160,74,115,122,230,103,160
9.3 km - 10.2 km,177,250,103,160,74,115,125,250,103,160
10.3 km - 11.2 km,181,250,103,160,74,115,128,250,103,160
11.3 km - 12.2 km,185,270,103,160,74,115,131,270,103,160
12.3 km - 13.2 km,189,270,103,160,74,115,134,270,103,160
13.3 km - 14.2 km,193,270,103,160,74,115,137,270,103,160
14.3 km - 15.2 km,198,270,103,160,74,115,140,270,103,160
15.3 km - 16.2 km,202,280,103,160,74,115,143,280,103,160
16.3 km - 17.2 km,206,280,103,160,74,115,146,280,103,160
17.3 km - 18.2 km,210,280,103,160,74,115,149,280,103,160
18.3 km - 19.2 km,214,280,103,160,74,115,152,280,103,160
19.3 km - 20.2 km,217,290,103,160,74,115,155,290,103,160
20.3 km - 21.2 km,220,290,103,160,74,115,158,290,103,160
21.3 km - 22.2 km,223,290,103,160,74,115,161,290,103,160
22.3 km - 23.2 km,226,290,103,160,74,115,164,290,103,160
23.3 km - 24.2 km,228,300,103,160,74,115,166,300,103,160
24.3 km - 25.2 km,230,300,103,160,74,115,167,300,103,160
25.3 km - 26.2 km,232,300,103,160,74,115,168,300,103,160
26.3 km - 27.2 km,233,300,103,160,74,115,169,300,103,160
27.3 km - 28.2 km,234,300,103,160,74,115,170,300,103,160
28.3 km - 29.2 km,235,300,103,160,74,115,171,300,103,160
29.3 km - 30.2 km,236,300,103,160,74,115,172,300,103,160
30.3 km - 31.2 km,237,300,103,160,74,115,173,300,103,160
31.3 km - 32.2 km,238,300,103,160,74,115,174,300,103,160
32.3 km - 33.2 km,239,300,103,160,74,115,175,300,103,160
33.3 km - 34.2 km,240,300,103,160,74,115,176,300,103,160
34.3 km - 35.2 km,241,300,103,160,74,115,177,300,103,160
35.3 km - 36.2 km,242,300,103,160,74,115,178,300,103,160
36.3 km - 37.2 km,243,300,103,160,74,115,179,300,103,160
37.3 km - 38.2 km,244,300,103,160,74,115,180,300,103,160
38.3 km - 39.2 km,245,300,103,160,74,115,181,300,103,160
39.3 km - 40.2 km,246,300,103,160,74,115,182,300,103,160
Over 40.2 km,247,300,103,160,74,115,183,300,103,160
